TPQ: 1024
TRACKS: 2

Track 0
Tick	Seconds	Dur	Message
0	0		ff 54 5 0 0 0 0 0 
0	0		ff 58 4 4 2 18 8 
0	0		ff 59 2 0 0 
0	0		ff 51 3 6 bb 5a 
0	0		ff 51 3 6 bb 5a 
0	0		ff 51 3 6 bb 65 
14336	6.17665		ff 51 3 6 bb 65 
14592	6.28694		ff 51 3 6 c2 1b 
14848	6.39767		ff 51 3 6 c8 1f 
15104	6.50878		ff 51 3 6 ce ec 
15360	6.62033		ff 51 3 6 ce ec 
15616	6.73188		ff 51 3 6 d5 c9 
15872	6.84386		ff 51 3 6 db ed 
16128	6.95624		ff 51 3 6 e2 e5 
16384	7.06907		ff 51 3 6 bb 65 
47104	20.3047		ff 51 3 6 bb 65 
47360	20.415		ff 51 3 6 c2 1b 
47616	20.5258		ff 51 3 6 c8 1f 
47872	20.6369		ff 51 3 6 ce ec 
48128	20.7484		ff 51 3 6 ce ec 
48384	20.86		ff 51 3 6 d5 c9 
48640	20.972		ff 51 3 6 db ed 
48896	21.0843		ff 51 3 6 e2 e5 
49152	21.1972		ff 51 3 6 bb 65 
88064	37.9623		ff 51 3 6 bb 65 
88320	38.0726		ff 51 3 6 c2 1b 
88576	38.1834		ff 51 3 6 c8 1f 
88832	38.2945		ff 51 3 6 ce ec 
89088	38.406		ff 51 3 6 ce ec 
89344	38.5176		ff 51 3 6 d5 c9 
89600	38.6296		ff 51 3 6 db ed 
89856	38.7419		ff 51 3 6 e2 e5 
90112	38.8548		ff 51 3 6 bb 65 
92160	39.7371		ff 51 3 6 bb 65 
92416	39.8474		ff 51 3 6 c2 1b 
92672	39.9582		ff 51 3 6 c8 1f 
92928	40.0693		ff 51 3 6 ce ec 
93184	40.1808		ff 51 3 6 ce ec 
93440	40.2924		ff 51 3 6 d5 c9 
93696	40.4044		ff 51 3 6 db ed 
93952	40.5167		ff 51 3 6 e2 e5 
94208	40.6296		ff 51 3 6 bb 65 
96256	41.5119		ff 51 3 6 bb 65 
96512	41.6222		ff 51 3 6 c8 1f 
96768	41.7333		ff 51 3 6 ce ec 
97024	41.8449		ff 51 3 6 db ed 
97280	41.9573		ff 51 3 6 e2 e5 
97536	42.0701		ff 51 3 6 f0 33 
97792	42.1838		ff 51 3 6 f6 8a 
98048	42.2979		ff 51 3 7 4 26 
98560	42.5278		ff 51 3 6 bb 65 
141312	60.9474		ff 51 3 6 bb 65 
141568	61.0577		ff 51 3 6 c2 1b 
141824	61.1684		ff 51 3 6 c8 1f 
142080	61.2795		ff 51 3 6 ce ec 
142336	61.3911		ff 51 3 6 ce ec 
142592	61.5026		ff 51 3 6 d5 c9 
142848	61.6146		ff 51 3 6 db ed 
143104	61.727		ff 51 3 6 e2 e5 
143360	61.8398		ff 51 3 6 bb 65 
145408	62.7222		ff 51 3 6 bb 65 
145664	62.8325		ff 51 3 6 c2 1b 
145920	62.9432		ff 51 3 6 c8 1f 
146176	63.0543		ff 51 3 6 ce ec 
146432	63.1659		ff 51 3 6 ce ec 
146688	63.2774		ff 51 3 6 d5 c9 
146944	63.3894		ff 51 3 6 db ed 
147200	63.5018		ff 51 3 6 e2 e5 
147456	63.6146		ff 51 3 6 bb 65 
153600	66.2618		ff 51 3 6 bb 65 
153856	66.3721		ff 51 3 6 c8 1f 
154112	66.4832		ff 51 3 6 ce ec 
154368	66.5947		ff 51 3 6 db ed 
154624	66.7071		ff 51 3 6 e2 e5 
154880	66.8199		ff 51 3 6 f0 33 
155136	66.9336		ff 51 3 6 f6 8a 
155392	67.0477		ff 51 3 7 4 26 
155904	67.2776		ff 51 3 6 bb 65 
169984	73.3439		ff 51 3 6 bb 65 
170240	73.4542		ff 51 3 6 c2 1b 
170496	73.565		ff 51 3 6 c8 1f 
170752	73.6761		ff 51 3 6 ce ec 
171008	73.7876		ff 51 3 6 ce ec 
171264	73.8992		ff 51 3 6 d5 c9 
171520	74.0111		ff 51 3 6 db ed 
171776	74.1235		ff 51 3 6 e2 e5 
172032	74.2364		ff 51 3 6 bb 65 
204800	88.3544		ff 51 3 6 bb 5a 
204800	88.3544		ff 51 3 6 bb 65 
219136	94.531		ff 51 3 6 bb 65 
219392	94.6413		ff 51 3 6 c2 1b 
219648	94.7521		ff 51 3 6 c8 1f 
219904	94.8632		ff 51 3 6 ce ec 
220160	94.9747		ff 51 3 6 ce ec 
220416	95.0863		ff 51 3 6 d5 c9 
220672	95.1983		ff 51 3 6 db ed 
220928	95.3106		ff 51 3 6 e2 e5 
221184	95.4235		ff 51 3 6 bb 65 
251904	108.659		ff 51 3 6 bb 65 
252160	108.769		ff 51 3 6 c2 1b 
252416	108.88		ff 51 3 6 c8 1f 
252672	108.991		ff 51 3 6 ce ec 
252928	109.103		ff 51 3 6 ce ec 
253184	109.214		ff 51 3 6 d5 c9 
253440	109.326		ff 51 3 6 db ed 
253696	109.439		ff 51 3 6 e2 e5 
253952	109.552		ff 51 3 6 bb 65 
292864	126.317		ff 51 3 6 bb 65 
293120	126.427		ff 51 3 6 c2 1b 
293376	126.538		ff 51 3 6 c8 1f 
293632	126.649		ff 51 3 6 ce ec 
293888	126.76		ff 51 3 6 ce ec 
294144	126.872		ff 51 3 6 d5 c9 
294400	126.984		ff 51 3 6 db ed 
294656	127.096		ff 51 3 6 e2 e5 
294912	127.209		ff 51 3 6 bb 65 
296960	128.092		ff 51 3 6 bb 65 
297216	128.202		ff 51 3 6 c2 1b 
297472	128.313		ff 51 3 6 c8 1f 
297728	128.424		ff 51 3 6 ce ec 
297984	128.535		ff 51 3 6 ce ec 
298240	128.647		ff 51 3 6 d5 c9 
298496	128.759		ff 51 3 6 db ed 
298752	128.871		ff 51 3 6 e2 e5 
299008	128.984		ff 51 3 6 bb 65 
301056	129.866		ff 51 3 6 bb 65 
301312	129.977		ff 51 3 6 c8 1f 
301568	130.088		ff 51 3 6 ce ec 
301824	130.199		ff 51 3 6 db ed 
302080	130.312		ff 51 3 6 e2 e5 
302336	130.424		ff 51 3 6 f0 33 
302592	130.538		ff 51 3 6 f6 8a 
302848	130.652		ff 51 3 7 4 26 
303360	130.882		ff 51 3 6 bb 65 
346112	149.302		ff 51 3 6 bb 65 
346368	149.412		ff 51 3 6 c2 1b 
346624	149.523		ff 51 3 6 c8 1f 
346880	149.634		ff 51 3 6 ce ec 
347136	149.745		ff 51 3 6 ce ec 
